"Vx";"Vy";"X";"Y";"Traj";"Time";"TrueMovMode";"TrueTrajClust";"firstEstMovMode";"firstSegment";"finalEstMovMode";"finalSegment"
0;0;0;0;"T21";0;1;2;1;"S-1-NA";2;"S-1"
-8.04215210622333;6.16642884898348;0;0;"T21";0.218265119474381;1;2;1;"S-1-NA";2;"S-1"
-11.5364395215033;7.67572376327576;-0.881733010397038;0.676080705835677;"T21";0.327904056757689;1;2;1;"S-1-NA";2;"S-1"
-21.4523235311545;6.23399751113938;-6.29414102381984;4.2772046685399;"T21";0.797061633784324;1;2;4;"S-2-NA";2;"S-1"
-21.5719458066665;5.5772246059738;-8.15082279575902;4.81675226246078;"T21";0.883610849268734;1;2;4;"S-2-NA";2;"S-1"
-21.6472192473649;5.35123905577808;-8.8065385980962;4.98628144355999;"T21";0.914007541723549;1;2;4;"S-2-NA";2;"S-1"
-21.8944667827839;5.11168927855701;-9.01386534809324;5.03753306111021;"T21";0.923585065174848;1;2;4;"S-2-NA";2;"S-1"
-22.0566151887989;4.98168560715022;-10.1740971513045;5.30841175059624;"T21";0.976577075198293;1;2;4;"S-2-NA";2;"S-1"
-22.117826367046;4.72410686677906;-11.1587579129487;5.53080627043623;"T21";1.02121949894354;1;2;4;"S-2-NA";2;"S-1"
-22.4932098056064;3.29533983327708;-15.198607857682;6.39367057490996;"T21";1.20387080824003;1;2;4;"S-2-NA";2;"S-1"
-22.5113271483143;3.1187343620324;-17.6994240610002;6.76004955424287;"T21";1.31505174795166;1;2;2;"S-3";2;"S-1"
-22.4337154811005;3.10622677293693;-17.8570960120773;6.78189353209958;"T21";1.32205586414784;1;2;2;"S-3";2;"S-1"
-22.2286698070563;2.71303920777256;-19.2971305689501;6.98128421699442;"T21";1.38624650426209;1;2;2;"S-3";2;"S-1"
-22.364623075626;2.47916852434275;-20.4393008517008;7.12068764445779;"T21";1.43762925872579;1;2;2;"S-3";2;"S-1"
-22.3831545047532;2.49230203530652;-20.5006959847018;7.1274934323653;"T21";1.44037444842979;1;2;2;"S-3";2;"S-1"
-21.8764947264639;2.57577063989618;-21.1646479402672;7.20142263702007;"T21";1.47003746824339;1;2;2;"S-3";2;"S-1"
-21.9323873523002;2.59594971830797;-21.2491743679013;7.21137490283402;"T21";1.47390126949176;1;2;2;"S-3";2;"S-1"
-21.989542273525;2.58927174652705;-22.0699571921555;7.30852396860553;"T21";1.511324592866;1;2;2;"S-3";2;"S-1"
-22.0272080881004;2.57080673517335;-22.4989482695352;7.35903772929935;"T21";1.53083346085623;1;2;2;"S-3";2;"S-1"
-22.0804720507595;2.46255191661021;-22.6084671512169;7.37181973406045;"T21";1.53580544283614;1;2;2;"S-3";2;"S-1"
-22.0688805216088;2.45117345134335;-22.6854383607187;7.38040404326574;"T21";1.53929138323292;1;2;2;"S-3";2;"S-1"
-22.0207667096719;2.46390781683487;-22.8078748216181;7.3940029660629;"T21";1.5448393067345;1;2;2;"S-3";2;"S-1"
-22.0090688646866;2.26990715081489;-23.8996912061019;7.51616651103594;"T21";1.5944205224514;1;2;2;"S-3";2;"S-1"
-21.3454170364815;1.93713415313104;-28.060186593266;7.94525954937928;"T21";1.78345602471381;1;2;2;"S-3";2;"S-1"
-21.408685796965;1.85418022727057;-28.5559986839226;7.99025536898331;"T21";1.80668405955657;1;2;2;"S-3";2;"S-1"
-21.4832384745265;1.86706787735266;-29.7360195383229;8.09245553936024;"T21";1.86180284945294;1;2;2;"S-3";2;"S-1"
-21.420921718304;1.94328545351134;-30.0847614296526;8.1227640416636;"T21";1.8780360580422;1;2;2;"S-3";2;"S-1"
-21.5428447523923;1.97296437016454;-30.4022877411004;8.15156972380269;"T21";1.89285924425349;1;2;2;"S-3";2;"S-1"
-21.8366526933294;1.92093344936731;-32.0074726243562;8.29857781946464;"T21";1.96737052174285;1;2;2;"S-3";2;"S-1"
-20.9762522923933;2.28035717396432;-36.7986715335732;8.72005149386614;"T21";2.18678138917312;1;2;2;"S-3";2;"S-1"
-21.0345182380936;2.31736046808724;-36.8890845090804;8.72988041251393;"T21";2.1910916431807;1;2;2;"S-3";2;"S-1"
-20.8698244684197;2.40993981014393;-39.0899076487672;8.97234379976307;"T21";2.29572076350451;1;2;2;"S-3";2;"S-1"
-20.7173392555314;2.54449306839528;-39.7881682154541;9.05297533262808;"T21";2.32917866669595;1;2;2;"S-3";2;"S-1"
-20.9254276355973;2.62187537447056;-43.145985605336;9.46538075632217;"T21";2.49125630361959;1;2;2;"S-3";2;"S-1"
-21.0782242976678;2.80627858799957;-44.6017784473829;9.6477859845145;"T21";2.56082682171836;1;2;2;"S-3";2;"S-1"
-20.9767653227976;2.84555750993031;-45.0201345729028;9.70348440676418;"T21";2.58067460963503;1;2;2;"S-3";2;"S-1"
-20.9098952778784;2.85795072528767;-45.2514123755315;9.73485789443127;"T21";2.59170003701001;1;2;2;"S-3";2;"S-1"
-21.3183849400083;2.73394415539658;-49.7599290289634;10.3510789834617;"T21";2.80731645179912;1;2;2;"S-3";2;"S-1"
-21.2121847582265;2.29685604170107;-54.6786333509405;10.9818708080317;"T21";3.03804238792509;1;2;2;"S-3";2;"S-1"
-21.1875619447628;2.35610703325001;-54.8024354194288;10.9952760999535;"T21";3.04387875366956;1;2;2;"S-3";2;"S-1"
-22.1167608609355;2.19802656754135;-60.630109087282;11.6433272042812;"T21";3.31893039401621;1;2;2;"S-3";2;"S-1"
-21.9271197276632;2.21541655146256;-61.1060450647822;11.6906270747085;"T21";3.34044963819906;1;2;2;"S-3";2;"S-1"
-21.9954603132693;2.23017948917408;-61.3098802539652;11.7112216560988;"T21";3.34974566940218;1;2;2;"S-3";2;"S-1"
-21.8759167587583;2.19281829398653;-61.8073660456003;11.7616630923251;"T21";3.37236332707107;1;2;2;"S-3";2;"S-1"
-21.9481328903319;2.3116895297553;-62.8634565067136;11.8675244607318;"T21";3.42063972493634;1;2;2;"S-3";2;"S-1"
-21.6558330605578;2.26439273211329;-63.8416574890026;11.9705535876308;"T21";3.46520848106593;1;2;2;"S-3";2;"S-1"
-21.6161847797756;2.32850165193478;-63.9564541946432;11.9825570430138;"T21";3.47050944110379;1;2;2;"S-3";2;"S-1"
-21.5911801081706;2.29044489278658;-64.4673423941753;12.0375900670504;"T21";3.49414396332577;1;2;2;"S-3";2;"S-1"
-21.4775350088676;2.10583887083563;-65.095060339361;12.1041799132032;"T21";3.52321685058996;1;2;2;"S-3";2;"S-1"
-21.6005458666891;2.17996933924293;-65.7251080012295;12.1659551055749;"T21";3.55255204485729;1;2;2;"S-3";2;"S-1"
-21.7691914770238;2.19141916265548;-66.8576126245574;12.2802496873249;"T21";3.60498148947954;1;2;2;"S-3";2;"S-1"
-21.5406524725734;2.29647987714474;-67.3722939561425;12.3320606392331;"T21";3.62862413749099;1;2;2;"S-3";2;"S-1"
